"","source","intervention","date","domestic","group"
"102","News India - Times","pre",1998-10-30,"International","Indian Americans"
"103","News India - Times","pre",1997-03-21,"International","Indian Americans"
"104","News India - Times","pre",2000-02-04,"Domestic","Indian Americans"
"105","News India - Times","pre",2001-02-23,"International","Indian Americans"
"106","News India - Times","pre",2001-06-22,"Domestic","Indian Americans"
"107","News India - Times","pre",2001-07-06,"Domestic","Indian Americans"
"108","News India - Times","pre",1998-04-10,"International","Indian Americans"
"109","News India - Times","pre",1998-02-20,"International","Indian Americans"
"110","News India - Times","pre",2001-04-27,"International","Indian Americans"
"111","News India - Times","pre",2000-12-29,"Domestic","Indian Americans"
"112","News India - Times","pre",1997-03-21,"International","Indian Americans"
"113","News India - Times","pre",1998-02-13,"Domestic","Indian Americans"
"114","News India - Times","pre",1999-01-22,"International","Indian Americans"
"115","News India - Times","pre",1999-01-22,"International","Indian Americans"
"116","News India - Times","pre",1996-09-27,"International","Indian Americans"
"117","News India - Times","pre",1999-02-19,"Domestic","Indian Americans"
"118","News India - Times","pre",1996-11-15,"International","Indian Americans"
"119","News India - Times","pre",1997-02-21,"International","Indian Americans"
"120","News India - Times","pre",1998-07-24,"Domestic","Indian Americans"
"121","India Abroad","pre",1997-04-25,"Domestic","Indian Americans"
"122","India Abroad","pre",1997-07-10,"International","Indian Americans"
"123","India Abroad","pre",1999-11-05,"Domestic","Indian Americans"
"124","India Abroad","pre",1997-01-24,"International","Indian Americans"
"125","India Abroad","pre",1997-08-01,"Domestic","Indian Americans"
"126","India Abroad","pre",1997-07-04,"Domestic","Indian Americans"
"127","India Abroad","pre",2001-02-16,"Domestic","Indian Americans"
"128","India Abroad","pre",2001-03-23,"Domestic","Indian Americans"
"129","India Abroad","pre",2001-03-02,"Domestic","Indian Americans"
"130","India Abroad","pre",1996-10-18,"International","Indian Americans"
"131","India Abroad","pre",2000-09-22,"International","Indian Americans"
"132","India Abroad","pre",1998-12-25,"International","Indian Americans"
"133","India Abroad","pre",1999-07-23,"Domestic","Indian Americans"
"134","India Abroad","pre",1999-02-12,"International","Indian Americans"
"135","India Abroad","pre",1997-07-18,"Domestic","Indian Americans"
"136","India Abroad","pre",1997-02-07,"International","Indian Americans"
"137","India Abroad","pre",2000-01-21,"Domestic","Indian Americans"
"138","India Abroad","pre",1998-03-13,"Domestic","Indian Americans"
"139","India Abroad","pre",2001-03-02,"International","Indian Americans"
"140","India Abroad","pre",1999-06-11,"International","Indian Americans"
"141","India Abroad","pre",1998-10-23,"International","Indian Americans"
"142","India Abroad","pre",1999-01-01,"Domestic","Indian Americans"
"143","India Abroad","pre",1998-10-30,"International","Indian Americans"
"144","India Abroad","pre",1999-08-06,"Domestic","Indian Americans"
"145","India Abroad","pre",1996-09-20,"Domestic","Indian Americans"
"146","India Abroad","pre",2000-04-28,"International","Indian Americans"
"147","India Abroad","pre",1996-11-15,"Domestic","Indian Americans"
"148","India Abroad","pre",1999-11-12,"Domestic","Indian Americans"
"149","India Abroad","pre",1997-01-17,"International","Indian Americans"
"150","India Abroad","pre",1998-01-16,"International","Indian Americans"
"151","India Abroad","pre",2000-07-14,"International","Indian Americans"
"152","India Abroad","pre",1996-11-01,"Domestic","Indian Americans"
"153","India Abroad","pre",2000-03-10,"Domestic","Indian Americans"
"154","India Abroad","pre",1999-07-16,"Domestic","Indian Americans"
"155","India Abroad","pre",1998-02-13,"International","Indian Americans"
"156","India Abroad","pre",2000-05-05,"International","Indian Americans"
"157","India Abroad","pre",1999-10-01,"Domestic","Indian Americans"
"158","India Abroad","pre",2001-01-26,"Domestic","Indian Americans"
"159","India Abroad","pre",2001-03-30,"Domestic","Indian Americans"
"160","India Abroad","pre",1996-10-18,"Domestic","Indian Americans"
"161","India Abroad","pre",1997-07-04,"Domestic","Indian Americans"
"162","India Abroad","pre",1997-05-23,"Domestic","Indian Americans"
"163","India Abroad","pre",1998-10-30,"International","Indian Americans"
"164","India Abroad","pre",1999-02-26,"International","Indian Americans"
"165","India Abroad","pre",1998-04-17,"International","Indian Americans"
"166","India Abroad","pre",1997-05-16,"International","Indian Americans"
"167","India Abroad","pre",1999-07-23,"Domestic","Indian Americans"
"168","India Abroad","pre",1999-02-26,"Domestic","Indian Americans"
"169","India Abroad","pre",1998-03-13,"International","Indian Americans"
"170","India Abroad","pre",1997-06-20,"Domestic","Indian Americans"
"171","India Abroad","pre",1998-05-08,"International","Indian Americans"
"172","India Abroad","pre",1998-04-17,"Domestic","Indian Americans"
"173","India Abroad","pre",2000-11-03,"International","Indian Americans"
"174","India Abroad","pre",1999-08-27,"International","Indian Americans"
"175","India Abroad","pre",2000-01-21,"Domestic","Indian Americans"
"176","India Abroad","pre",1998-03-13,"International","Indian Americans"
"177","India Abroad","pre",1997-01-31,"Domestic","Indian Americans"
"178","India Abroad","pre",1997-08-08,"International","Indian Americans"
"179","India Abroad","pre",1999-12-03,"Domestic","Indian Americans"
"180","India Abroad","pre",1997-04-25,"International","Indian Americans"
"181","India Abroad","pre",1998-03-13,"International","Indian Americans"
"182","India Abroad","pre",1996-10-18,"Domestic","Indian Americans"
"183","India Abroad","pre",1998-03-20,"Domestic","Indian Americans"
"184","India Abroad","pre",2000-11-24,"International","Indian Americans"
"185","India Abroad","pre",2001-02-16,"Domestic","Indian Americans"
"186","India Abroad","pre",2000-04-07,"International","Indian Americans"
"187","India Abroad","pre",2001-06-29,"Domestic","Indian Americans"
"188","India Abroad","pre",1997-01-17,"International","Indian Americans"
"189","India Abroad","pre",2001-07-13,"International","Indian Americans"
"190","India Abroad","pre",1999-07-30,"International","Indian Americans"
"191","India Abroad","pre",1998-02-27,"Domestic","Indian Americans"
"192","India Abroad","pre",2000-05-26,"Domestic","Indian Americans"
"193","India Abroad","pre",2000-01-07,"Domestic","Indian Americans"
"194","India Abroad","pre",1997-01-17,"International","Indian Americans"
"195","India Abroad","pre",1998-02-06,"International","Indian Americans"
"196","India Abroad","pre",1999-10-29,"Domestic","Indian Americans"
"197","India Abroad","pre",2001-01-26,"Domestic","Indian Americans"
"198","India Abroad","pre",1997-10-17,"International","Indian Americans"
"199","India Abroad","pre",1999-05-21,"International","Indian Americans"
"200","India Abroad","pre",2001-03-16,"Domestic","Indian Americans"
"201","India Abroad","pre",2001-03-30,"International","Indian Americans"
"202","India Abroad","pre",2000-09-15,"International","Indian Americans"
"203","India Abroad","pre",1999-02-12,"International","Indian Americans"
"204","India Abroad","pre",2001-05-04,"International","Indian Americans"
"205","India Abroad","pre",2001-07-13,"International","Indian Americans"
"206","India Abroad","pre",2000-01-07,"International","Indian Americans"
"207","India Abroad","pre",1999-10-22,"International","Indian Americans"
"208","India Abroad","pre",2000-11-17,"International","Indian Americans"
"209","India Abroad","pre",2000-12-22,"International","Indian Americans"
"210","India Abroad","pre",1999-02-12,"International","Indian Americans"
"211","India Abroad","pre",1996-10-11,"International","Indian Americans"
"212","India Abroad","pre",1999-10-15,"International","Indian Americans"
"213","India Abroad","pre",2000-06-23,"International","Indian Americans"
"214","India Abroad","pre",2000-04-14,"International","Indian Americans"
"215","India Abroad","pre",1998-10-16,"Domestic","Indian Americans"
"216","India Abroad","pre",2000-07-21,"International","Indian Americans"
"217","India Abroad","pre",1998-02-20,"International","Indian Americans"
"218","India Abroad","pre",1998-09-18,"International","Indian Americans"
"219","India Abroad","pre",2000-11-10,"International","Indian Americans"
"220","India Abroad","pre",1997-02-21,"International","Indian Americans"
"221","India Abroad","pre",2000-04-28,"International","Indian Americans"
"222","India Abroad","pre",2000-07-28,"International","Indian Americans"
"223","India Abroad","pre",1997-12-12,"International","Indian Americans"
"224","India Abroad","pre",2001-06-22,"International","Indian Americans"
"225","India Abroad","pre",1998-01-23,"International","Indian Americans"
"226","India Abroad","pre",2001-03-09,"International","Indian Americans"
"227","India Abroad","pre",1998-09-25,"Domestic","Indian Americans"
"228","India Abroad","pre",1999-02-19,"International","Indian Americans"
"229","India Abroad","pre",2000-07-28,"International","Indian Americans"
"230","India Abroad","pre",1997-04-18,"International","Indian Americans"
"231","India Abroad","pre",1996-11-22,"International","Indian Americans"
