"","source","intervention","date","domestic","group"
"1589","India - West","post",2003-05-30,"Domestic","Indian Americans"
"1590","India Abroad","post",2003-05-30,"Domestic","Indian Americans"
"1591","The Arab American News","post",2003-05-30,"Domestic","Arab Americans"
"1592","The Arab American News","post",2003-05-30,"Domestic","Arab Americans"
"1593","News India - Times","post",2003-05-23,"International","Indian Americans"
"1594","News India - Times","post",2003-05-23,"International","Indian Americans"
"1595","India - West","post",2003-05-23,"Domestic","Indian Americans"
"1596","India Abroad","post",2003-05-23,"International","Indian Americans"
"1597","India Abroad","post",2003-05-23,"Domestic","Indian Americans"
"1598","India Abroad","post",2003-05-23,"International","Indian Americans"
"1599","India Abroad","post",2003-05-23,"Domestic","Indian Americans"
"1600","India Abroad","post",2003-05-23,"International","Indian Americans"
"1601","India Abroad","post",2003-05-23,"International","Indian Americans"
"1602","India Abroad","post",2003-05-23,"International","Indian Americans"
"1603","India Abroad","post",2003-05-23,"Domestic","Indian Americans"
"1604","News India - Times","post",2003-05-16,"Domestic","Indian Americans"
"1605","News India - Times","post",2003-05-16,"Domestic","Indian Americans"
"1606","News India - Times","post",2003-05-16,"Domestic","Indian Americans"
"1607","News India - Times","post",2003-05-16,"International","Indian Americans"
"1608","India Abroad","post",2003-05-16,"Domestic","Indian Americans"
"1609","India Abroad","pre",2001-06-22,"Domestic","Indian Americans"
"1610","India Abroad","pre",2001-06-22,"International","Indian Americans"
"1611","News India - Times","pre",2001-06-15,"International","Indian Americans"
"1612","News India - Times","pre",2001-06-15,"International","Indian Americans"
"1613","News India - Times","pre",2001-06-15,"International","Indian Americans"
"1614","News India - Times","pre",2001-06-15,"International","Indian Americans"
"1615","The Arab American News","pre",2001-06-15,"Domestic","Arab Americans"
"1616","The Arab American News","pre",2001-06-15,"International","Arab Americans"
"1617","News India - Times","pre",2001-06-08,"International","Indian Americans"
"1618","News India - Times","pre",2001-06-08,"International","Indian Americans"
"1619","News India - Times","pre",2001-06-08,"International","Indian Americans"
"1620","News India - Times","pre",2001-06-08,"Domestic","Indian Americans"
"1621","The Arab American News","pre",2001-06-08,"International","Arab Americans"
"1622","India Abroad","pre",2001-06-08,"International","Indian Americans"
"1623","The Arab American News","pre",2001-06-08,"International","Arab Americans"
"1624","The Arab American News","pre",2001-06-08,"Domestic","Arab Americans"
"1625","The Arab American News","pre",2001-06-08,"International","Arab Americans"
"1626","The Arab American News","pre",2001-06-08,"Domestic","Arab Americans"
"1627","India Abroad","pre",2001-06-08,"International","Indian Americans"
"1628","India Abroad","pre",2001-06-08,"International","Indian Americans"
"1629","India Abroad","pre",2001-06-08,"International","Indian Americans"
"1630","India Abroad","pre",2001-06-08,"International","Indian Americans"
"1631","The Arab American News","pre",2001-06-08,"Domestic","Arab Americans"
"1632","India Abroad","pre",2001-06-08,"International","Indian Americans"
"1633","India Abroad","pre",2001-06-08,"International","Indian Americans"
"1634","India Abroad","pre",2001-06-08,"International","Indian Americans"
"1635","India Abroad","pre",2001-06-08,"Domestic","Indian Americans"
"1636","News India - Times","pre",2001-06-01,"Domestic","Indian Americans"
"1637","News India - Times","pre",2001-06-01,"International","Indian Americans"
"1638","India - West","pre",2001-06-01,"International","Indian Americans"
"1639","India Abroad","pre",2001-06-01,"Domestic","Indian Americans"
"1640","India Abroad","pre",2001-06-01,"International","Indian Americans"
"1641","News India - Times","pre",2001-05-25,"International","Indian Americans"
"1642","News India - Times","pre",2001-05-25,"International","Indian Americans"
"1643","News India - Times","pre",2001-05-25,"International","Indian Americans"
"1644","News India - Times","pre",2001-05-25,"International","Indian Americans"
"1645","News India - Times","pre",2001-05-25,"Domestic","Indian Americans"
"1646","India Abroad","pre",2001-05-25,"International","Indian Americans"
"1647","News India - Times","pre",2001-05-18,"International","Indian Americans"
"1648","India - West","pre",2001-05-18,"International","Indian Americans"
"1649","India Abroad","pre",2001-05-18,"Domestic","Indian Americans"
"1650","India Abroad","pre",2001-05-18,"International","Indian Americans"
"1651","India Abroad","pre",2001-05-18,"International","Indian Americans"
"1652","News India - Times","pre",2001-05-11,"Domestic","Indian Americans"
"1653","News India - Times","pre",2001-05-11,"International","Indian Americans"
"1654","News India - Times","pre",2001-05-11,"Domestic","Indian Americans"
"1655","India Abroad","pre",2001-05-11,"Domestic","Indian Americans"
"1656","The Arab American News","pre",2001-05-11,"International","Arab Americans"
"1657","India Abroad","pre",2001-05-11,"International","Indian Americans"
"1658","News India - Times","pre",2001-05-04,"International","Indian Americans"
"1659","India - West","pre",2001-05-04,"Domestic","Indian Americans"
"1660","India Abroad","pre",2001-05-04,"Domestic","Indian Americans"
"1661","The Arab American News","pre",2001-05-04,"Domestic","Arab Americans"
"1662","The Arab American News","pre",2001-05-04,"Domestic","Arab Americans"
"1663","India Abroad","pre",2001-05-04,"International","Indian Americans"
"1664","India Abroad","pre",2001-05-04,"International","Indian Americans"
"1665","India Abroad","pre",2001-05-04,"International","Indian Americans"
"1666","News India - Times","pre",2001-04-30,"International","Indian Americans"
"1667","News India - Times","pre",2001-04-30,"International","Indian Americans"
"1668","News India - Times","pre",2001-04-27,"International","Indian Americans"
"1669","News India - Times","pre",2001-04-27,"International","Indian Americans"
"1670","News India - Times","pre",2001-04-27,"International","Indian Americans"
"1671","News India - Times","pre",2001-04-27,"International","Indian Americans"
"1672","News India - Times","pre",2001-04-20,"International","Indian Americans"
"1673","News India - Times","pre",2001-04-20,"International","Indian Americans"
"1674","News India - Times","pre",2001-04-20,"Domestic","Indian Americans"
"1675","News India - Times","pre",2001-04-20,"International","Indian Americans"
"1676","News India - Times","pre",2001-04-20,"Domestic","Indian Americans"
"1677","India - West","pre",2001-04-20,"International","Indian Americans"
"1678","News India - Times","pre",2001-04-13,"Domestic","Indian Americans"
"1679","News India - Times","pre",2001-04-13,"Domestic","Indian Americans"
"1680","News India - Times","pre",2001-04-13,"Domestic","Indian Americans"
"1681","India Abroad","pre",2001-04-13,"Domestic","Indian Americans"
"1682","India Abroad","post",2002-11-29,"Domestic","Indian Americans"
"1683","The Arab American News","post",2002-11-29,"Domestic","Arab Americans"
"1684","The Arab American News","post",2002-11-29,"Domestic","Arab Americans"
"1685","India Abroad","post",2002-11-29,"Domestic","Indian Americans"
"1686","News India - Times","post",2002-11-22,"International","Indian Americans"
"1687","News India - Times","post",2002-11-22,"Domestic","Indian Americans"
"1688","India - West","post",2002-11-22,"International","Indian Americans"
"1689","India - West","post",2002-11-22,"International","Indian Americans"
"1690","India Abroad","post",2002-11-22,"Domestic","Indian Americans"
"1691","India Abroad","post",2002-11-22,"International","Indian Americans"
"1692","The Arab American News","post",2002-11-22,"Domestic","Arab Americans"
"1693","The Arab American News","post",2002-11-22,"Domestic","Arab Americans"
"1694","The Arab American News","post",2002-11-22,"Domestic","Arab Americans"
"1695","India Abroad","post",2002-11-22,"Domestic","Indian Americans"
"1696","India Abroad","post",2002-11-22,"Domestic","Indian Americans"
"1697","India Abroad","post",2002-11-22,"Domestic","Indian Americans"
"1698","India Abroad","post",2002-11-22,"International","Indian Americans"
"1699","News India - Times","post",2002-11-15,"Domestic","Indian Americans"
"1700","News India - Times","post",2002-11-15,"Domestic","Indian Americans"
"1701","News India - Times","post",2002-11-15,"International","Indian Americans"
"1702","News India - Times","post",2002-11-15,"Domestic","Indian Americans"
"1703","News India - Times","post",2002-11-15,"International","Indian Americans"
"1704","India Abroad","post",2002-11-15,"International","Indian Americans"
"1705","India Abroad","post",2002-11-15,"International","Indian Americans"
"1706","India Abroad","post",2002-11-15,"Domestic","Indian Americans"
"1707","The Arab American News","post",2002-11-15,"Domestic","Arab Americans"
"1708","The Arab American News","post",2002-11-15,"Domestic","Arab Americans"
"1709","News India - Times","post",2002-11-08,"Domestic","Indian Americans"
"1710","News India - Times","post",2002-11-08,"Domestic","Indian Americans"
"1711","News India - Times","post",2002-11-08,"Domestic","Indian Americans"
"1712","News India - Times","post",2002-11-08,"Domestic","Indian Americans"
"1713","News India - Times","post",2002-11-08,"Domestic","Indian Americans"
"1714","News India - Times","post",2002-11-08,"International","Indian Americans"
"1715","News India - Times","post",2002-11-08,"Domestic","Indian Americans"
"1716","News India - Times","post",2002-11-08,"International","Indian Americans"
"1717","India Abroad","post",2002-11-08,"International","Indian Americans"
"1718","India Abroad","post",2002-11-08,"International","Indian Americans"
"1719","India Abroad","post",2002-11-08,"Domestic","Indian Americans"
"1720","India Abroad","post",2002-11-08,"International","Indian Americans"
"1721","India Abroad","post",2002-11-08,"Domestic","Indian Americans"
"1722","India Abroad","post",2002-11-08,"Domestic","Indian Americans"
"1723","India Abroad","post",2002-11-08,"International","Indian Americans"
"1724","News India - Times","post",2002-11-01,"Domestic","Indian Americans"
"1725","News India - Times","post",2002-11-01,"International","Indian Americans"
"1726","News India - Times","post",2002-11-01,"Domestic","Indian Americans"
"1727","News India - Times","post",2002-11-01,"Domestic","Indian Americans"
"1728","News India - Times","post",2002-11-01,"Domestic","Indian Americans"
"1729","News India - Times","post",2002-11-01,"Domestic","Indian Americans"
"1730","India - West","post",2002-11-01,"International","Indian Americans"
"1731","India - West","post",2002-11-01,"Domestic","Indian Americans"
"1732","India Abroad","post",2002-11-01,"International","Indian Americans"
"1733","India Abroad","post",2002-11-01,"International","Indian Americans"
"1734","India Abroad","post",2002-11-01,"Domestic","Indian Americans"
"1735","India Abroad","post",2002-11-01,"Domestic","Indian Americans"
"1736","India Abroad","post",2002-11-01,"Domestic","Indian Americans"
"1737","India Abroad","post",2002-11-01,"Domestic","Indian Americans"
"1738","India Abroad","post",2002-11-01,"Domestic","Indian Americans"
"1739","News India - Times","post",2002-10-25,"Domestic","Indian Americans"
"1740","News India - Times","post",2002-10-25,"International","Indian Americans"
"1741","News India - Times","post",2002-10-25,"International","Indian Americans"
"1742","News India - Times","post",2002-10-25,"International","Indian Americans"
"1743","India - West","post",2002-10-25,"International","Indian Americans"
"1744","India - West","post",2002-10-25,"Domestic","Indian Americans"
"1745","India - West","post",2002-10-25,"Domestic","Indian Americans"
"1746","India Abroad","post",2002-10-25,"Domestic","Indian Americans"
"1747","India Abroad","post",2002-10-25,"Domestic","Indian Americans"
"1748","India Abroad","post",2002-10-25,"International","Indian Americans"
"1749","India Abroad","post",2002-10-25,"Domestic","Indian Americans"
"1750","India Abroad","post",2002-10-25,"Domestic","Indian Americans"
"1751","India Abroad","post",2002-10-25,"International","Indian Americans"
"1752","India Abroad","post",2002-10-25,"International","Indian Americans"
"1753","India Abroad","post",2002-10-25,"International","Indian Americans"
"1754","News India - Times","post",2002-10-18,"International","Indian Americans"
"1755","News India - Times","post",2002-10-18,"International","Indian Americans"
"1756","News India - Times","post",2002-10-18,"International","Indian Americans"
"1757","News India - Times","post",2002-10-18,"Domestic","Indian Americans"
"1758","India Abroad","post",2002-10-18,"International","Indian Americans"
"1759","India Abroad","post",2002-10-18,"Domestic","Indian Americans"
"1760","India Abroad","post",2002-10-18,"Domestic","Indian Americans"
"1761","India Abroad","post",2002-10-18,"Domestic","Indian Americans"
"1762","India Abroad","post",2002-10-18,"International","Indian Americans"
"1763","India Abroad","post",2002-10-18,"Domestic","Indian Americans"
"1764","India Abroad","post",2002-10-18,"International","Indian Americans"
"1765","India Abroad","post",2002-10-18,"Domestic","Indian Americans"
"1766","India Abroad","post",2002-10-18,"International","Indian Americans"
"1767","India Abroad","post",2002-10-18,"Domestic","Indian Americans"
"1768","India - West","post",2003-04-04,"Domestic","Indian Americans"
"1769","India - West","post",2003-04-04,"Domestic","Indian Americans"
"1770","India - West","post",2003-04-04,"Domestic","Indian Americans"
"1771","India - West","post",2003-04-04,"International","Indian Americans"
"1772","India - West","post",2003-04-04,"Domestic","Indian Americans"
"1773","India Abroad","post",2003-04-04,"Domestic","Indian Americans"
"1774","India Abroad","post",2003-04-04,"Domestic","Indian Americans"
"1775","India Abroad","post",2003-04-04,"Domestic","Indian Americans"
"1776","India Abroad","post",2003-04-04,"International","Indian Americans"
"1777","India Abroad","post",2003-04-04,"International","Indian Americans"
"1778","India Abroad","post",2003-04-04,"Domestic","Indian Americans"
"1779","India Abroad","post",2003-04-04,"Domestic","Indian Americans"
"1780","India Abroad","post",2003-04-04,"International","Indian Americans"
"1781","India Abroad","post",2003-04-04,"Domestic","Indian Americans"
"1782","India Abroad","post",2003-04-04,"Domestic","Indian Americans"
"1783","India Abroad","post",2003-04-04,"International","Indian Americans"
"1784","India Abroad","post",2003-04-04,"International","Indian Americans"
"1785","The Arab American News","post",2003-04-04,"Domestic","Arab Americans"
"1786","News India - Times","post",2003-03-28,"Domestic","Indian Americans"
"1787","News India - Times","post",2003-03-28,"Domestic","Indian Americans"
"1788","News India - Times","post",2003-03-28,"Domestic","Indian Americans"
"1789","News India - Times","post",2003-03-28,"Domestic","Indian Americans"
"1790","News India - Times","post",2003-03-28,"Domestic","Indian Americans"
"1791","News India - Times","post",2003-03-28,"Domestic","Indian Americans"
"1792","News India - Times","post",2003-03-28,"Domestic","Indian Americans"
"1793","News India - Times","post",2003-03-28,"Domestic","Indian Americans"
"1794","India - West","post",2003-03-28,"Domestic","Indian Americans"
"1795","India Abroad","post",2003-03-28,"Domestic","Indian Americans"
"1796","The Arab American News","post",2003-03-28,"Domestic","Arab Americans"
"1797","The Arab American News","post",2003-03-28,"Domestic","Arab Americans"
"1798","India Abroad","post",2003-03-28,"Domestic","Indian Americans"
"1799","The Arab American News","post",2003-03-28,"Domestic","Arab Americans"
"1800","The Arab American News","post",2003-03-28,"Domestic","Arab Americans"
"1801","The Arab American News","post",2003-03-28,"Domestic","Arab Americans"
"1802","The Arab American News","post",2003-03-28,"Domestic","Arab Americans"
"1803","The Arab American News","post",2003-03-28,"Domestic","Arab Americans"
"1804","The Arab American News","post",2003-03-28,"Domestic","Arab Americans"
"1805","The Arab American News","post",2003-03-28,"Domestic","Arab Americans"
"1806","India Abroad","post",2003-03-28,"International","Indian Americans"
"1807","India Abroad","post",2003-03-28,"Domestic","Indian Americans"
"1808","The Arab American News","post",2003-03-28,"Domestic","Arab Americans"
"1809","India Abroad","post",2003-03-28,"Domestic","Indian Americans"
"1810","India Abroad","post",2003-03-28,"International","Indian Americans"
"1811","India Abroad","post",2003-03-28,"Domestic","Indian Americans"
"1812","News India - Times","post",2003-03-21,"Domestic","Indian Americans"
"1813","India - West","post",2003-03-21,"Domestic","Indian Americans"
"1814","India - West","post",2003-03-21,"Domestic","Indian Americans"
"1815","India - West","post",2003-03-21,"Domestic","Indian Americans"
"1816","India - West","post",2003-03-21,"Domestic","Indian Americans"
"1817","India Abroad","post",2003-03-21,"International","Indian Americans"
"1818","India Abroad","post",2003-03-21,"International","Indian Americans"
"1819","The Arab American News","post",2003-03-21,"Domestic","Arab Americans"
"1820","The Arab American News","post",2003-03-21,"Domestic","Arab Americans"
"1821","The Arab American News","post",2003-03-21,"Domestic","Arab Americans"
"1822","India Abroad","post",2003-03-21,"Domestic","Indian Americans"
"1823","News India - Times","post",2003-03-14,"Domestic","Indian Americans"
"1824","News India - Times","post",2003-03-14,"Domestic","Indian Americans"
"1825","News India - Times","post",2003-03-14,"Domestic","Indian Americans"
"1826","News India - Times","post",2003-03-14,"International","Indian Americans"
"1827","News India - Times","post",2003-03-14,"International","Indian Americans"
"1828","News India - Times","post",2003-03-14,"Domestic","Indian Americans"
"1829","The Arab American News","post",2003-03-14,"Domestic","Arab Americans"
"1830","India Abroad","post",2003-03-14,"International","Indian Americans"
"1831","India Abroad","post",2003-03-14,"International","Indian Americans"
"1832","India Abroad","post",2003-03-14,"Domestic","Indian Americans"
"1833","India Abroad","post",2003-03-14,"Domestic","Indian Americans"
"1834","India Abroad","post",2003-03-14,"Domestic","Indian Americans"
"1835","India Abroad","post",2003-03-14,"Domestic","Indian Americans"
"1836","India Abroad","post",2003-03-14,"Domestic","Indian Americans"
"1837","India Abroad","post",2003-03-14,"Domestic","Indian Americans"
"1838","India Abroad","post",2003-03-14,"Domestic","Indian Americans"
"1839","India Abroad","post",2003-03-14,"Domestic","Indian Americans"
"1840","News India - Times","post",2003-03-07,"Domestic","Indian Americans"
"1841","News India - Times","post",2003-03-07,"Domestic","Indian Americans"
"1842","India - West","post",2003-03-07,"Domestic","Indian Americans"
"1843","The Arab American News","post",2003-03-07,"International","Arab Americans"
"1844","India Abroad","post",2003-03-07,"International","Indian Americans"
"1845","India Abroad","post",2003-03-07,"International","Indian Americans"
"1846","The Arab American News","post",2003-03-07,"Domestic","Arab Americans"
"1847","News India - Times","post",2003-02-28,"International","Indian Americans"
"1848","News India - Times","post",2003-02-28,"International","Indian Americans"
"1849","News India - Times","post",2003-02-28,"International","Indian Americans"
"1850","News India - Times","post",2003-02-28,"Domestic","Indian Americans"
"1851","India Abroad","post",2003-02-28,"Domestic","Indian Americans"
"1852","India Abroad","post",2003-02-28,"International","Indian Americans"
"1853","India Abroad","post",2003-02-28,"International","Indian Americans"
"1854","India - West","post",2002-05-17,"Domestic","Indian Americans"
"1855","India - West","post",2002-05-17,"Domestic","Indian Americans"
"1856","India Abroad","post",2002-05-17,"Domestic","Indian Americans"
"1857","India Abroad","post",2002-05-17,"Domestic","Indian Americans"
"1858","India Abroad","post",2002-05-17,"International","Indian Americans"
"1859","India Abroad","post",2002-05-17,"International","Indian Americans"
"1860","India Abroad","post",2002-05-17,"International","Indian Americans"
"1861","India Abroad","post",2002-05-17,"Domestic","Indian Americans"
"1862","India Abroad","post",2002-05-17,"Domestic","Indian Americans"
"1863","The Arab American News","post",2002-05-17,"Domestic","Arab Americans"
"1864","The Arab American News","post",2002-05-17,"Domestic","Arab Americans"
"1865","The Arab American News","post",2002-05-17,"Domestic","Arab Americans"
"1866","The Arab American News","post",2002-05-17,"Domestic","Arab Americans"
"1867","The Arab American News","post",2002-05-17,"Domestic","Arab Americans"
"1868","India Abroad","post",2002-05-17,"Domestic","Indian Americans"
"1869","India Abroad","post",2002-05-17,"Domestic","Indian Americans"
"1870","News India - Times","post",2002-05-10,"International","Indian Americans"
"1871","News India - Times","post",2002-05-10,"International","Indian Americans"
"1872","News India - Times","post",2002-05-10,"International","Indian Americans"
"1873","News India - Times","post",2002-05-10,"Domestic","Indian Americans"
"1874","News India - Times","post",2002-05-10,"Domestic","Indian Americans"
"1875","India - West","post",2002-05-10,"Domestic","Indian Americans"
"1876","India - West","post",2002-05-10,"Domestic","Indian Americans"
"1877","The Arab American News","post",2002-05-10,"Domestic","Arab Americans"
"1878","India Abroad","post",2002-05-10,"International","Indian Americans"
"1879","India Abroad","post",2002-05-10,"Domestic","Indian Americans"
"1880","The Arab American News","post",2002-05-10,"Domestic","Arab Americans"
"1881","The Arab American News","post",2002-05-10,"Domestic","Arab Americans"
"1882","India Abroad","post",2002-05-10,"Domestic","Indian Americans"
"1883","India Abroad","post",2002-05-10,"International","Indian Americans"
"1884","India Abroad","post",2002-05-10,"Domestic","Indian Americans"
"1885","India Abroad","post",2002-05-10,"Domestic","Indian Americans"
"1886","India Abroad","post",2002-05-10,"International","Indian Americans"
"1887","The Arab American News","post",2002-05-10,"International","Arab Americans"
"1888","India Abroad","post",2002-05-10,"Domestic","Indian Americans"
"1889","India Abroad","post",2002-05-10,"International","Indian Americans"
"1890","India Abroad","post",2002-05-10,"Domestic","Indian Americans"
"1891","News India - Times","post",2002-05-03,"Domestic","Indian Americans"
"1892","News India - Times","post",2002-05-03,"International","Indian Americans"
"1893","News India - Times","post",2002-05-03,"Domestic","Indian Americans"
"1894","News India - Times","post",2002-05-03,"International","Indian Americans"
"1895","News India - Times","post",2002-05-03,"International","Indian Americans"
"1896","India - West","post",2002-05-03,"Domestic","Indian Americans"
"1897","India - West","post",2002-05-03,"Domestic","Indian Americans"
"1898","India Abroad","post",2002-05-03,"International","Indian Americans"
"1899","India Abroad","post",2002-05-03,"Domestic","Indian Americans"
"1900","India Abroad","post",2002-05-03,"International","Indian Americans"
"1901","The Arab American News","post",2002-05-03,"International","Arab Americans"
"1902","The Arab American News","post",2002-05-03,"Domestic","Arab Americans"
"1903","India Abroad","post",2002-05-03,"International","Indian Americans"
"1904","India Abroad","post",2002-05-03,"Domestic","Indian Americans"
"1905","News India - Times","post",2002-04-26,"Domestic","Indian Americans"
"1906","News India - Times","post",2002-04-26,"International","Indian Americans"
"1907","News India - Times","post",2002-04-26,"Domestic","Indian Americans"
"1908","News India - Times","post",2002-04-26,"International","Indian Americans"
"1909","News India - Times","post",2002-04-26,"Domestic","Indian Americans"
"1910","India - West","post",2002-04-26,"International","Indian Americans"
"1911","India Abroad","post",2002-04-26,"International","Indian Americans"
"1912","India Abroad","post",2002-04-26,"International","Indian Americans"
"1913","India Abroad","post",2002-04-26,"International","Indian Americans"
"1914","India Abroad","post",2002-04-26,"International","Indian Americans"
"1915","India Abroad","post",2002-04-26,"International","Indian Americans"
"1916","India Abroad","post",2002-04-26,"Domestic","Indian Americans"
"1917","India Abroad","post",2002-04-26,"Domestic","Indian Americans"
"1918","India Abroad","post",2002-04-26,"International","Indian Americans"
"1919","India Abroad","post",2002-04-26,"Domestic","Indian Americans"
"1920","India Abroad","post",2002-04-26,"International","Indian Americans"
"1921","India Abroad","post",2002-04-26,"Domestic","Indian Americans"
"1922","India Abroad","post",2002-04-26,"International","Indian Americans"
"1923","India Abroad","post",2002-04-26,"Domestic","Indian Americans"
"1924","The Arab American News","post",2002-04-26,"Domestic","Arab Americans"
"1925","India Abroad","post",2002-04-26,"International","Indian Americans"
"1926","News India - Times","post",2002-04-19,"Domestic","Indian Americans"
"1927","News India - Times","post",2002-04-19,"International","Indian Americans"
"1928","News India - Times","post",2002-04-19,"International","Indian Americans"
"1929","News India - Times","post",2002-04-19,"International","Indian Americans"
"1930","News India - Times","post",2002-04-19,"Domestic","Indian Americans"
"1931","News India - Times","post",2002-04-19,"Domestic","Indian Americans"
"1932","India Abroad","post",2002-04-19,"International","Indian Americans"
"1933","India Abroad","post",2002-04-19,"Domestic","Indian Americans"
"1934","India Abroad","post",2002-04-19,"International","Indian Americans"
"1935","India Abroad","post",2002-04-19,"Domestic","Indian Americans"
"1936","India Abroad","post",2002-04-19,"Domestic","Indian Americans"
"1937","India Abroad","post",2002-04-19,"International","Indian Americans"
"1938","India Abroad","post",2002-04-19,"Domestic","Indian Americans"
"1939","India Abroad","post",2002-04-19,"International","Indian Americans"
"1940","India Abroad","post",2002-04-19,"International","Indian Americans"
"1941","India Abroad","post",2002-04-19,"Domestic","Indian Americans"
"1942","India Abroad","pre",2000-11-03,"International","Indian Americans"
"1943","India Abroad","pre",2000-11-03,"International","Indian Americans"
"1944","India Abroad","pre",2000-11-03,"International","Indian Americans"
"1945","News India - Times","pre",2000-10-27,"Domestic","Indian Americans"
"1946","News India - Times","pre",2000-10-27,"Domestic","Indian Americans"
"1947","News India - Times","pre",2000-10-27,"International","Indian Americans"
"1948","News India - Times","pre",2000-10-27,"Domestic","Indian Americans"
"1949","India Abroad","pre",2000-10-27,"International","Indian Americans"
"1950","India Abroad","pre",2000-10-27,"Domestic","Indian Americans"
"1951","India Abroad","pre",2000-10-27,"International","Indian Americans"
"1952","India Abroad","pre",2000-10-27,"International","Indian Americans"
"1953","News India - Times","pre",2000-10-20,"Domestic","Indian Americans"
"1954","India - West","pre",2000-10-20,"Domestic","Indian Americans"
"1955","India Abroad","pre",2000-10-20,"Domestic","Indian Americans"
"1956","India Abroad","pre",2000-10-20,"International","Indian Americans"
"1957","India Abroad","pre",2000-10-20,"International","Indian Americans"
"1958","India Abroad","pre",2000-10-20,"Domestic","Indian Americans"
"1959","India Abroad","pre",2000-10-20,"International","Indian Americans"
"1960","India Abroad","pre",2000-10-20,"International","Indian Americans"
"1961","India Abroad","pre",2000-10-20,"International","Indian Americans"
"1962","India - West","pre",2000-10-13,"Domestic","Indian Americans"
"1963","India Abroad","pre",2000-10-13,"Domestic","Indian Americans"
"1964","India Abroad","pre",2000-10-13,"International","Indian Americans"
"1965","News India - Times","pre",2000-10-06,"International","Indian Americans"
"1966","News India - Times","pre",2000-10-06,"International","Indian Americans"
"1967","India - West","pre",2000-10-06,"Domestic","Indian Americans"
"1968","India Abroad","pre",2000-10-06,"International","Indian Americans"
"1969","News India - Times","pre",2000-09-29,"Domestic","Indian Americans"
"1970","News India - Times","pre",2000-09-29,"Domestic","Indian Americans"
"1971","News India - Times","pre",2000-09-29,"Domestic","Indian Americans"
"1972","News India - Times","pre",2000-09-29,"International","Indian Americans"
"1973","India - West","pre",2000-09-29,"Domestic","Indian Americans"
"1974","India Abroad","pre",2000-09-29,"International","Indian Americans"
"1975","India Abroad","pre",2000-09-29,"Domestic","Indian Americans"
"1976","India Abroad","pre",2000-09-29,"International","Indian Americans"
"1977","News India - Times","pre",2000-09-22,"International","Indian Americans"
"1978","The Arab American News","pre",2000-09-22,"International","Arab Americans"
"1979","The Arab American News","pre",2000-09-22,"International","Arab Americans"
"1980","The Arab American News","pre",2000-09-22,"Domestic","Arab Americans"
"1981","The Arab American News","pre",2000-09-22,"Domestic","Arab Americans"
"1982","India Abroad","pre",2000-09-22,"International","Indian Americans"
"1983","India Abroad","pre",2000-09-22,"International","Indian Americans"
"1984","India Abroad","pre",2000-09-22,"International","Indian Americans"
"1985","News India - Times","pre",2000-09-15,"Domestic","Indian Americans"
"1986","News India - Times","pre",2000-09-15,"International","Indian Americans"
"1987","News India - Times","pre",2000-09-15,"International","Indian Americans"
"1988","News India - Times","pre",2000-09-15,"International","Indian Americans"
"1989","News India - Times","pre",2000-09-15,"Domestic","Indian Americans"
"1990","News India - Times","pre",2000-09-15,"Domestic","Indian Americans"
"1991","News India - Times","pre",2000-09-15,"Domestic","Indian Americans"
"1992","India - West","pre",2000-09-15,"International","Indian Americans"
"1993","India - West","pre",2000-09-15,"International","Indian Americans"
"1994","India - West","pre",2000-09-15,"Domestic","Indian Americans"
"1995","India Abroad","pre",2000-09-15,"Domestic","Indian Americans"
"1996","India Abroad","pre",2000-09-15,"International","Indian Americans"
"1997","News India - Times","pre",2000-09-08,"International","Indian Americans"
"1998","News India - Times","pre",2000-09-08,"International","Indian Americans"
"1999","The Arab American News","pre",2000-09-08,"Domestic","Arab Americans"
"2000","The Arab American News","pre",2000-09-08,"Domestic","Arab Americans"
"2001","India Abroad","pre",2000-09-08,"Domestic","Indian Americans"
"2002","India Abroad","pre",2000-09-08,"Domestic","Indian Americans"
"2003","News India - Times","pre",2000-09-01,"International","Indian Americans"
"2004","News India - Times","pre",2000-09-01,"International","Indian Americans"
"2005","News India - Times","pre",2000-09-01,"International","Indian Americans"
"2006","India Abroad","pre",2000-09-01,"Domestic","Indian Americans"
"2007","India Abroad","pre",2000-09-01,"International","Indian Americans"
"2008","India Abroad","pre",2000-09-01,"International","Indian Americans"
"2009","News India - Times","pre",2000-08-25,"International","Indian Americans"
"2010","News India - Times","pre",2000-08-25,"International","Indian Americans"
"2011","News India - Times","pre",2000-08-25,"International","Indian Americans"
"2012","The Arab American News","pre",2000-08-25,"International","Arab Americans"
"2013","The Arab American News","pre",2000-08-25,"International","Arab Americans"
"2014","India Abroad","pre",2000-08-25,"Domestic","Indian Americans"
"2015","India Abroad","pre",2000-08-25,"Domestic","Indian Americans"
"2016","India Abroad","pre",2000-08-25,"International","Indian Americans"
"2017","News India - Times","pre",2000-08-18,"International","Indian Americans"
"2018","News India - Times","pre",2000-08-18,"International","Indian Americans"
"2019","News India - Times","pre",2000-08-18,"International","Indian Americans"
"2020","India Abroad","pre",2000-08-18,"Domestic","Indian Americans"
"2021","The Arab American News","post",2005-07-23,"Domestic","Arab Americans"
"2022","The Arab American News","post",2005-07-23,"Domestic","Arab Americans"
"2023","News India - Times","post",2005-07-22,"Domestic","Indian Americans"
"2024","News India - Times","post",2005-07-22,"Domestic","Indian Americans"
"2025","News India - Times","post",2005-07-22,"Domestic","Indian Americans"
